[2025-08-28 15:23:26.240] 🔄 Inicio: 2025-08-28 15:23:26
[2025-08-28 15:23:26.241] ⏱ Delay efectivo: 1000 ms
[2025-08-28 15:23:26.242] 🌐 Endpoint: http://172.20.190.94:8080/CAI3G1.2/services/CAI3G1.2/async
[2025-08-28 15:23:26.401] ✅ [0] Enviado: msisdn=50237562623
[2025-08-28 15:23:27.431] ✅ [1] Enviado: msisdn=50237562623
[2025-08-28 15:23:28.464] ✅ [2] Enviado: msisdn=50237562623
[2025-08-28 15:23:29.493] ✅ [3] Enviado: msisdn=50237562623
[2025-08-28 15:23:30.517] ✅ [4] Enviado: msisdn=50237562623
[2025-08-28 15:23:31.584] ✅ [5] Enviado: msisdn=50237562623
[2025-08-28 15:23:32.616] ✅ [6] Enviado: msisdn=50237562623
[2025-08-28 15:23:33.651] ✅ [7] Enviado: msisdn=50237562623
[2025-08-28 15:23:34.708] ✅ [8] Enviado: msisdn=50237562623
[2025-08-28 15:23:35.740] ✅ [9] Enviado: msisdn=50237562623
[2025-08-28 15:23:36.760] ✅ [10] Enviado: msisdn=50237562623
[2025-08-28 15:23:37.822] ✅ [11] Enviado: msisdn=50237562623
[2025-08-28 15:23:38.878] ✅ [12] Enviado: msisdn=50237562623
[2025-08-28 15:23:39.925] ✅ [13] Enviado: msisdn=50237562623
[2025-08-28 15:23:40.000] ✅ [14] Enviado: msisdn=50237562623
[2025-08-28 15:23:42.038] ✅ [15] Enviado: msisdn=50237562623
[2025-08-28 15:23:43.092] ✅ [16] Enviado: msisdn=50237562623
[2025-08-28 15:23:44.130] ✅ [17] Enviado: msisdn=50237562623
[2025-08-28 15:23:45.159] ✅ [18] Enviado: msisdn=50237562623
[2025-08-28 15:23:46.201] ✅ [19] Enviado: msisdn=50237562623
[2025-08-28 15:23:47.239] ✅ [20] Enviado: msisdn=50237562623
[2025-08-28 15:23:48.265] ✅ [21] Enviado: msisdn=50237562623
[2025-08-28 15:23:49.289] ✅ [22] Enviado: msisdn=50237562623
[2025-08-28 15:23:50.325] ✅ [23] Enviado: msisdn=50237562623
[2025-08-28 15:23:51.360] ✅ [24] Enviado: msisdn=50237562623
[2025-08-28 15:23:52.392] ✅ [25] Enviado: msisdn=50237562623
[2025-08-28 15:23:53.424] ✅ [26] Enviado: msisdn=50237562623
[2025-08-28 15:23:54.450] ✅ [27] Enviado: msisdn=50237562623
[2025-08-28 15:23:55.521] ✅ [28] Enviado: msisdn=50237562623
