[2025-05-21 09:57:28] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-21 09:57:31] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-21 09:58:55] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: Desconocido | Elemento: No especificado
[2025-05-21 09:59:01] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-21 10:36:41] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-21 10:36:48] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: Desconocido | Elemento: No especificado
[2025-05-21 10:36:50] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-21 10:40:35] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-05-21 10:42:16] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-05-21 10:42:25] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-05-21 17:12:52] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 07:26:22] IP: 172.23.9.81 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 07:26:50] IP: 172.23.9.81 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 07:51:07] IP: 172.23.9.81 | Usuario: minero.rodolfo | Página: Desconocido | Elemento: No especificado
[2025-05-22 07:51:51] IP: 172.23.9.81 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-22 16:19:31] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:19:34] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:19:38] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:19:40] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:20:35] IP: 172.26.9.43 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php | Elemento: No especificado
[2025-05-22 16:20:43] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:20:44] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:20:58] IP: 172.26.12.23 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-22 16:20:58] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-23 10:31:20] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-23 10:31:24] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-23 10:31:28] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-23 10:31:38] IP: 172.21.57.191 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php | Elemento: No especificado
[2025-05-23 10:31:46] IP: 172.21.57.191 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-23 11:00:16] IP: 172.21.57.191 | Usuario: cesar.perez | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-23 11:47:52] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
