[2025-05-12 09:38:47] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: No especificado
[2025-05-12 09:39:50] IP: 172.16.68.252 | Usuario: osorio.albert | Página: Desconocido | Elemento: login
[2025-05-12 09:43:13] IP: 172.16.68.252 | Usuario: osorio.albert | Página: Desconocido | Elemento: login
[2025-05-12 09:45:14] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: No especificado
[2025-05-12 09:48:10] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: Voz
[2025-05-12 09:50:00] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: Valores Pendientes
[2025-05-20 17:07:01] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-20 17:07:02] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-20 17:07:06] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: Voz
[2025-06-09 09:59:49] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 09:59:56] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 09:59:59] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: Internet v2
[2025-06-09 10:05:10] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axessdev/dump.php | Elemento: Valores Pendientes
